word,articles,translation,context,level
Körper,der,,,30
Fuß,der,,,30
Klasse,die,,,30
Zug,der,,,30
Chef,der,,,30
Lösung,die,,,30
Fenster,das,,,31
Junge,der,,,31
Produkt,das,,,31
Studium,das,,,31
Höhe,die,,,31
Vergleich,der,,,31
Idee,die,,,31
Luft,die,,,31
Englisch,das,,,31
Französisch,das,,,31
Meinung,die,,,31
Natur,die,,,32
Bett,das,,,32
Wirtschaft,die,,,32
Spaß,der,,,32
Modell,das,,,32
Geschäft,das,,,32
Bewegung,die,,,32
Mittel,das,,,32
Kunde,der,,,32
Tier,das,,,32
Mitarbeiter,der,,,32
Tod,der,,,32
Dorf,das,,,33
Bruder,der,,,33
Angabe,die,,,33
Verfügung,die,,,33
Gast,der,,,33
Sicherheit,die,,,33
Dank,der,,,33
Kollege,der,,,33
Gebiet,das,,,33
Einsatz,der,,,33
Unterschied,der,,,34
Anwendung,die,,,34
Vorstellung,die,,,34
Kontakt,der,,,34
Fach,das,,,34
Menge,die,,,34
Verbindung,die,,,34
Sommer,der,,,34
Anspruch,der,,,34
Herz,das,,,34
Antwort,die,,,34
Ausbildung,die,,,35
Alter,das,,,35
Kilometer,der,,,35
Vertrag,der,,,35
Hilfe,die,,,35
Dollar,der,,,35
Verfahren,das,,,35
Theater,das,,,35
Gefahr,die,,,35
Patient,der,,,35
Kosten,die,,,35
Polizei,die,,,35
Computer,der,,,35
Gerät,das,,,35
Oktober,der,,,36
Reihe,die,,,36
Stoff,der,,,36
Mitte,die,,,36
Glück,das,,,36
Maßnahme,die,,,36
Westen,der,,,36
Ordnung,die,,,36
Beginn,der,,,36
Wochenende,das,,,36
Professor,der,,,36
Osten,der,,,37
Reise,die,,,37
Einheit,die,,,37
Institut,das,,,37
Bevölkerung,die,,,37
Erde,die,,,37
Schwester,die,,,37
Ebene,die,,,37
Wahl,die,,,38
Bedingung,die,,,38
Lächeln,das,,,38
Struktur,die,,,38
Prinzip,das,,,38
Risiko,das,,,38
Vorteil,der,,,38
Haar,das,,,38
Wirkung,die,,,38
Montag,der,,,38
Nähe,die,,,38
Autor,der,,,38
Sonntag,der,,,39
Größe,die,,,39
Medien,die,,,39
Untersuchung,die,,,39
Veränderung,die,,,39
Daten,die,,,39
Organisation,die,,,39
Einfluss,der,,,39
Macht,die,,,39
Methode,die,,,39
Brief,der,,,39
Sport,der,,,40
Augenblick,der,,,40
Diskussion,die,,,40
Liebe,die,,,40
Technik,die,,,40
Versuch,der,,,40
Kreis,der,,,40
Forderung,die,,,40
Rede,die,,,40
Tätigkeit,die,,,41
Krankheit,die,,,41
Eindruck,der,,,41
Voraussetzung,die,,,41
Kampf,der,,,41
Schwierigkeit,die,,,41
Schweigen,das,,,41
Künstler,der,,,41
Region,die,,,41
Beitrag,der,,,42
Konzept,das,,,42
Mund,der,,,42
Wunsch,der,,,42
Artikel,der,,,42
Reaktion,die,,,42
Linie,die,,,42
Rücken,der,,,43
Kapitel,das,,,43
Literatur,die,,,43
Aussage,die,,,43
Bürger,der,,,43
Wand,die,,,43
Jugendliche,der/die,,,43
Gegensatz,der,,,43
Inhalt,der,,,43
Farbe,die,,,43
Himmel,der,,,43
Bibliothek,die,,,43
Zelle,die,,,43
Kenntnis,die,,,44
Ansatz,der,,,44
Papier,das,,,44
Erinnerung,die,,,44
Maß,das,,,44
Kurs,der,,,44
Umstand,der,,,44
Sekunde,die,,,44
Sonne,die,,,44
Bein,das,,,44
Essen,das,,,45
Grundlage,die,,,45
Wirklichkeit,die,,,45
Küche,die,,,45
Wissenschaft,die,,,45
Hälfte,die,,,45
Garten,der,,,45
Druck,der,,,45
Zustand,der,,,45
Meer,das,,,45
Zeitpunkt,der,,,46
Plan,der,,,46
Hinweis,der,,,46
Auftrag,der,,,46
Baum,der,,,46
Dienst,der,,,46
Gegenstand,der,,,46
Freude,die,,,46
Gemeinde,die,,,46
November,der,,,47
Position,die,,,47
Netz,das,,,47
Forschung,die,,,47
Wald,der,,,47
Bundesrepublik,die,,,47
Praxis,die,,,47
Schluss,der,,,47
Haut,die,,,47
Glas,das,,,47
Maschine,die,,,48
Nummer,die,,,48
Finger,der,,,48
Russisch,das,,,48
Titel,der,,,48
Roman,der,,,48
Hund,der,,,48
Sicht,die,,,48
Ausdruck,der,,,48
Politiker,der,,,48
Theorie,die,,,48
Team,das,,,48
Umwelt,die,,,48
Verein,der,,,48
Freundin,die,,,48
Haushalt,der,,,48
Dienstag,der,,,48
Material,das,,,49
Tatsache,die,,,49
Wagen,der,,,49
Unterstützung,die,,,49
Schulter,die,,,49
Umgebung,die,,,49
Rest,der,,,49
Produktion,die,,,49
Sorge,die,,,49
Soldat,der,,,49
Fernsehen,das,,,49
Ruhe,die,,,49
Volk,das,,,49
Zeichen,das,,,49
Schaden,der,,,49
Mittwoch,der,,,50
Energie,die,,,50
Zweck,der,,,50
Angriff,der,,,50
Grad,der/das,,,50
Öffentlichkeit,die,,,50
Schutz,der,,,50
Anteil,der,,,50
Job,der,,,50
Besuch,der,,,50
Wind,der,,,50
Antrag,der,,,50
Erklärung,die,,,50
Beschäftigte,der/die,,,50
Unterricht,der,,,51
Amt,das,,,51
Gang,der,,,51
Behandlung,die,,,51
Feld,das,,,51
Einrichtung,die,,,51
Lauf,der,,,51
Zentrum,das,,,51
Anschlag,der,,,51
Ausland,das,,,51
Faktor,der,,,52
Erkenntnis,die,,,52
Spur,die,,,52
Hotel,das,,,52
Fehler,der,,,52
Publikum,das,,,52
Berg,der,,,52
Analyse,die,,,52
Hochschule,die,,,52
Studie,die,,,52
Vorsitzende,der/die,,,52
Freizeit,die,,,53
Partner,der,,,53
Freiheit,die,,,53
Kritik,die,,,53
See,die/der,,,53
GmbH,die,,,53
Typ,der,,,53
Gegend,die,,,53
Ereignis,das,,,53
Arbeitsplatz,der,,,54
Objekt,das,,,54
Sprecher,der,,,54
Verantwortung,die,,,54
Fähigkeit,die,,,54
Aufnahme,die,,,54
Kontrolle,die,,,54
Opfer,das,,,54
Wahrheit,die,,,54
Urlaub,der,,,54
Gebäude,das,,,54
Karte,die,,,54
Jahrzehnt,das,,,55
Prüfung,die,,,55
Regelung,die,,,55
Gesellschafter,der,,,55
Bezug,der,,,55
Ausstellung,die,,,55
Norden,der,,,55
Hoffnung,die,,,55
Bitte,die,,,55
Schiff,das,,,55
Ohr,das,,,55
Tat,die,,,56
Gewinn,der,,,56
Band,das/der/die,,,56
Einstellung,die,,,56
Bericht,der,,,56
König,der,,,56
Mai,der,,,56
Sieg,der,,,56
Gericht,das,,,56
Bund,der,,,57
Traum,der,,,57
Vergangenheit,die,,,57
Direktor,der,,,57
Qualität,die,,,57
Besucher,der,,,57
Abschnitt,der,,,57
Union,die,,,57
Geographie,die,,,57
Hintergrund,der,,,57
Rand,der,,,57
Amerikaner,der,,,57
Verlust,der,,,58
Bauer,der,,,58
Freitag,der,,,58
Ehe,die,,,58
Winter,der,,,58
Ursache,die,,,58
Zuschauer,der,,,58
Anzahl,die,,,58
Aktiengesellschaft (AG),die,,,58
Pflanze,die,,,59
Samstag,der,,,59
Störung,die,,,59
Generation,die,,,59
Eigenschaft,die,,,59
Vorschlag,der,,,59
Januar,der,,,59
Vertreter,der,,,59
Bildung,die,,,59
Zentimeter,der,,,59
Nachricht,die,,,59
Insel,die,,,59
Instrument,das,,,59
Abstand,der,,,59
Leiter,der/die,,,59
Geist,der,,,60
Semester,das,,,60
Stand,der,,,60
Dezember,der,,,60
Abschluss,der,,,60
Tradition,die,,,60
Interview,das,,,60
Blatt,das,,,60
Donnerstag,der,,,60
Basis,die,,,61
Bühne,die,,,61
Museum,das,,,61
Element,das,,,61
Mama,die,,,61
Nutzung,die,,,61
Dame,die,,,61
Behörde,die,,,61
Kommunikation,die,,,61
Anlage,die,,,61
Hof,der,,,61
Gelegenheit,die,,,61
Terror,der,,,62
Verständnis,das,,,62
Bürgermeister,der,,,62
Ecke,die,,,62
Auseinandersetzung,die,,,62
Ansicht,die,,,62
Herbst,der,,,62
Definition,die,,,62
Kriterium,das,,,62
Bahn,die,,,62
Jude,der,,,62
Zusammenarbeit,die,,,62
Masse,die,,,63
Veranstaltung,die,,,63
Nation,die,,,63
Hobby,das,,,63
Bau,der,,,63
Änderung,die,,,63
Ausnahme,die,,,63
Flugzeug,das,,,63
Stein,der,,,63
Foto,das,,,63
Phase,die,,,63
Ton,der,,,63
Italienisch,das,,,64
Landschaft,die,,,64
Konflikt,der,,,64
Lust,die,,,64
Mehrheit,die,,,64
Leitung,die,,,64
Kandidat,der,,,64
BGB (Bürgerliches Gesetzbuch),das,,,64
Franken,der,,,64
Kaffee,der,,,64
Aktivität,die,,,64
Fest,das,,,64
Dach,das,,,64
Rechnung,die,,,64
Schloss,das,,,64
Nachmittag,der,,,64
Mannschaft,die,,,65
Stern,der,,,65
Runde,die,,,65
Laden,der,,,65
Experte,der,,,65
Meister,der,,,65
Mauer,die,,,65
Gestalt,die,,,65
Figur,die,,,66
Büro,das,,,66
Frieden,der,,,66
Umgang,der,,,66
Industrie,die,,,66
Branche,die,,,66
Zugang,der,,,66
Stellung,die,,,66
Vorgang,der,,,66
Darstellung,die,,,66
Wachstum,das,,,66
Dauer,die,,,67
Szene,die,,,67
Lager,das,,,67
Strecke,die,,,67
Blut,das,,,67
Schatten,der,,,67
Lehre,die,,,67
Gewalt,die,,,67
Rat,der,,,67
Institution,die,,,67
Spitze,die,,,67
Konzern,der,,,67
Katze,die,,,67
Pferd,das,,,67
Fußball,der,,,67
Weltmeisterschaft,die,,,67
Konsequenz,die,,,68
Stuhl,der,,,68
Feuer,das,,,68
Ausländer,der,,,68
Aktion,die,,,68
Gymnasium,das,,,68
Verband,der,,,68
Juli,der,,,68
Tor,das,,,68
Nase,die,,,68
Ausgabe,die,,,68
Anlass,der,,,68
Süden,der,,,68
Aktie,die,,,68
Trainer,der,,,69
Telefon,das,,,69
Führung,die,,,69
Club,der,,,69
Nachbar,der,,,69
Medizin,die,,,69
Terrorismus,der,,,69
Software,die,,,69
Stufe,die,,,69
Bundesland,das,,,69
Fluss,der,,,69
Geschwindigkeit,die,,,69
Gut,das,,,69
Zweifel,der,,,70
Effekt,der,,,70
Messe,die,,,70
Bad,das,,,70
Belastung,die,,,70
Vorschrift,die,,,70
Umfang,der,,,70
Bus,der,,,70
Anforderung,die,,,70
Kommission,die,,,71
Fahrrad,das,,,71
Mangel,der,,,71
Richter,der,,,71
Anbieter,der,,,71
Terrorist,der,,,71
Urteil,das,,,71
Krankenhaus,das,,,71
Schmerz,der,,,72
Schuld,die,,,72
Jugend,die,,,72
Fleisch,das,,,72
Juni,der,,,72
Stimmung,die,,,72
Wein,der,,,72
Welle,die,,,72
Tasche,die,,,72
Decke,die,,,72
Fisch,der,,,72
Wettbewerb,der,,,72
Tante,die,,,73
Temperatur,die,,,73
Leser,der,,,73
Auswirkung,die,,,73
Bedürfnis,das,,,73
Wetter,das,,,73
Ware,die,,,73
Alternative,die,,,73
Haltung,die,,,73
Waffe,die,,,73
Ahnung,die,,,74
Quelle,die,,,74
Manager,der,,,74
Loch,das,,,74
Kleid,das,,,74
Regen,der,,,74
Spieler,der,,,74
Brust,die,,,74
Religion,die,,,74
Länge,die,,,74
Koalition,die,,,74
Einführung,die,,,74
Förderung,die,,,74
Fahrt,die,,,74
Wissenschaftler,der,,,75
Vorwurf,der,,,75
April,der,,,75
Bier,das,,,75
Summe,die,,,75
Tourist,der,,,75
Bundesregierung,die,,,75
Verwendung,die,,,75
Strom,der,,,75
Test,der,,,75
Vertrauen,das,,,75
Umsatz,der,,,75
Termin,der,,,75
Realität,die,,,76
Leid,das,,,76
Landwirtschaft,die,,,76
Krise,die,,,76
Pause,die,,,76
Phänomen,das,,,76
Suche,die,,,76
Parlament,das,,,76
Perspektive,die,,,76
Merkmal,das,,,76
März,der,,,76
Lied,das,,,76
Konzert,das,,,76
Botschaft,die,,,77
Brot,das,,,77
Fortschritt,der,,,77
Formel,die,,,77
Weltkrieg,der,,,77
Aufbau,der,,,77
Arbeitgeber,der,,,77
August,der,,,77
Flasche,die,,,77
Bestimmung,die,,,77
Pflicht,die,,,78
Teilnehmer,der,,,78
Wille,der,,,78
Nachfrage,die,,,78
Mühe,die,,,78
Hauptstadt,die,,,78
Geburtstag,der,,,78
Gegenwart,die,,,78
Studiengang,der,,,78
Debatte,die,,,78
Gegner,der,,,79
Weile,die,,,79
Käufer,der,,,79
Kilogramm,das,,,79
Hinsicht,die,,,79
Betrag,der,,,79
Fremdsprache,die,,,79
Adresse,die,,,79
Verwaltung,die,,,79
Heimat,die,,,80
Konkurrenz,die,,,80
Kino,das,,,80
Hals,der,,,80
Ablauf,der,,,80
Schwerpunkt,der,,,80
Kauf,der,,,80
Mathematik,die,,,80
Streit,der,,,80
Verhandlung,die,,,80
Schicht,die,,,80
Gemeinschaft,die,,,81
Gegenteil,das,,,81
Platte,die,,,81
Minister,der,,,81
Nachteil,der,,,81
Management,das,,,81
Millimeter,der,,,81
Sitz,der,,,81
Erwachsene,der/die,,,81
Kanzler,der,,,81
Fahrer,der,,,81
Handel,der,,,81
Drittel,das,,,81
Arbeitnehmer,der,,,81
Gewerkschaft,die,,,81
Beamte,der/die,,,82
Verdacht,der,,,82
Start,der,,,82
Vogel,der,,,82
Widerstand,der,,,82
Tourismus,der,,,82
Tabelle,die,,,82
Spanisch,das,,,82
Steuer,das/die,,,83
Polizist,der,,,83
Schriftsteller,der,,,83
Investition,die,,,83
Planung,die,,,83
Bundestag,der,,,83
Therapie,die,,,83
Türkish,das,,,83
Überlegung,die,,,83
Stärke,die,,,83
Einnahme,die,,,84
Bewusstsein,das,,,84
Verletzung,die,,,84
Abgeordnete,der/die,,,84
Beschreibung,die,,,84
Erkrankung,die,,,84
Flughafen,der,,,84
Fläche,die,,,84
Armee,die,,,84
Verkehr,der,,,84
Anschluss,der,,,84
Boot,das,,,84
Gehirn,das,,,84
Gesundheit,die,,,84
Atmosphäre,die,,,84
Auswahl,die,,,84
Bahnhof,der,,,85
Wechsel,der,,,85
Park,der,,,85
Stirn,die,,,85
PC,der,,,85
Strategie,die,,,85
Alltag,der,,,85
Bundeskanzler,der,,,85
Auftritt,der,,,85
Demokratie,die,,,85
Saison,die,,,85
Post,die,,,85
Physik,die,,,85
Standort,der,,,86
Verlag,der,,,86
Zeitraum,der,,,86
Pfarrer,der,,,86
Schicksal,das,,,86
Hersteller,der,,,86
Erwartung,die,,,86
Schrift,die,,,86
Niveau,das,,,86
Liste,die,,,86
Holz,das,,,86
Knie,das,,,86
Kombination,die,,,86
Fotografie,die,,,86
Fahrzeug,das,,,86
Forscher,der,,,87
Radio,das,,,87
Beweis,der,,,87
HGB (Handelsgesetzbuch),das,,,87
Detail,das,,,87
Kasse,die,,,87
Organismus,der,,,87
Kategorie,die,,,87
Integration,die,,,87
Abteilung,die,,,87
Dimension,die,,,87
Gewicht,das,,,88
Frühjahr,das,,,88
Beratung,die,,,88
Beschäftigung,die,,,88
Verbesserung,die,,,88
Unfall,der,,,88
Februar,der,,,88
Verpflichtung,die,,,88
Bundesrat,der,,,88
Betrachtung,die,,,88
Bedarf,der,,,88
Abitur,das,,,88
Bewertung,die,,,89
Wesen,das,,,89
Mittelpunkt,der,,,89
Arbeitslosigkeit,die,,,89
Kompetenz,die,,,89
Bezeichnung,die,,,89
Vermögen,das,,,89
Treppe,die,,,89
Journalist,der,,,89
Beteiligung,die,,,89
Lebensmittel,das,,,89
Strand,der,,,89
Spiegel,der,,,89
Beobachtung,die,,,89
Star,der,,,90
Teilchen,das,,,90
Nutzen,der,,,90
Ministerpräsident,der,,,90
Lippe,die,,,90
Taste,die,,,90
Signal,das,,,90
Ruf,der,,,90
Standard,der,,,90
CD,die,,,90
Substanz,die,,,90
Geschäftsführer,der,,,90
Gebrauch,der,,,90
Russe,der,,,90
Brücke,die,,,90
Oberfläche,die,,,91
Initiative,die,,,91
Glaube,der,,,91
Experiment,das,,,91
Vorbereitung,die,,,91
Anwalt,der,,,91
Vordergrund,der,,,91
Grundsatz,der,,,91
Rennen,das,,,91
Versicherung,die,,,91
Komponente,die,,,91
Reich,das,,,91
Viertel,das,,,92
Verkauf,der,,,92
Schuh,der,,,92
Seminar,das,,,92
Truppe,die,,,92
Spannung,die,,,92
Technologie,die,,,92
Umfeld,das,,,92
Schlag,der,,,92
Sendung,die,,,92
Vorjahr,das,,,92
Verbraucher,der,,,92
Kanal,der,,,93
Schlaf,der,,,93
Erlebnis,das,,,93
Bilanz,die,,,93
Sender,der,,,93
Plus,das,,,93
Quartal,das,,,93
Rechner,der,,,93
Kredit,der,,,93
Karriere,die,,,93
Kamera,die,,,93
Identität,die,,,93
Rad,das,,,93
Grundstück,das,,,93
Verlauf,der,,,94
TV,das,,,94
Bewohner,der,,,94
Erziehung,die,,,94
Zigarette,die,,,94
Atem,der,,,94
Auffassung,die,,,94
Aktionär,der,,,94
Charakter,der,,,94
Geburt,die,,,94
Einkommen,das,,,94
Tal,das,,,94
Tiefe,die,,,94
Schnee,der,,,95
Sitzung,die,,,95
Service,der,,,95
Schülerin,die,,,95
Sturm,der,,,95
Halle,die,,,95
Reform,die,,,95
Herausforderung,die,,,95
Niederlage,die,,,95
Schauspieler,der,,,95
Mittag,der,,,95
Informationstechnologie (IT),die,,,95
Norm,die,,,95
Restaurant,das,,,95
Träne,die,,,96
Außenminister,der,,,96
Arzneimittel,das,,,96
Annahme,die,,,96
Zustimmung,die,,,96
Zufall,der,,,96
Benutzer,der,,,96
Trauer,die,,,96
Vorstand,der,,,96
Bescheid,der,,,96
Argument,das,,,96
Angehörige,der/die,,,96
Blume,die,,,97
Fraktion,die,,,97
Grundgesetz,das,,,97
Bundeswehr,die,,,97
Individuum,das,,,97
Existenz,die,,,97
Händler,der,,,97
Katastrophe,die,,,97
Disziplin,die,,,97
Versorgung,die,,,98
Umsetzung,die,,,98
Papa,der,,,98
Sand,der,,,98
Opposition,die,,,98
Tendenz,die,,,98
Musiker,der,,,98
Motiv,das,,,98
Verkäufer,der,,,98
Training,das,,,98
Personal,das,,,98
Station,die,,,98
Wandel,der,,,99
Ausmaß,das,,,99
Angelegenheit,die,,,99
Auskunft,die,,,99
Fleck,der,,,99
Wunder,das,,,99
Begründung,die,,,99
Engagement,das,,,99
Entfernung,die,,,99
Koffer,der,,,100
Unternehmer,der,,,100
Immunsystem,das,,,100
Griechisch,das,,,100
Video,das,,,100
Not,die,,,100
Persönlichkeit,die,,,100
Seele,die,,,100
Schlüssel,der,,,100
Schreibtisch,der,,,100
Unternehmung,die,,,100
Vereinbarung,die,,,100
Handlung,die,,,100
Ferne,die,,,101
Café,das,,,101
Erzählung,die,,,101
Wahrnehmung,die,,,101
Gedicht,das,,,101
Äußerung,die,,,101
Angestellte,der/die,,,101
Datei,die,,,101
Begegnung,die,,,101
Dienstleistung,die,,,101
Vielzahl,die,,,102
Träger,der,,,102
Tonne,die,,,102
Trend,der,,,102
Kanton,der,,,102
Keller,der,,,102
Gründung,die,,,102
Verwandte,der/die,,,102
Operation,die,,,102
Qualifikation,die,,,102
Konto,das,,,102
Variante,die,,,102
Vielfalt,die,,,102
Sammlung,die,,,102
Aufwendungen,die,,,103
Berechnung,die,,,103
Zahlung,die,,,103
Bestand,der,,,103
Arbeiter,der,,,103
Entwurf,der,,,103
Bauch,der,,,103
Aufwand,der,,,103
Entwicklungsland,das,,,103
Kern,der,,,104
Hose,die,,,104
Impuls,der,,,104
Finanzierung,die,,,104
Kapital,das,,,104
Fachhochschule,die,,,104
Fernseher,der,,,104
Motor,der,,,104
Rang,der,,,104
Zahn,der,,,105
Republik,die,,,105
Salz,das,,,105
Wahlkampf,der,,,105
Schilling,der,,,105
Wolke,die,,,105
Behinderung,die,,,105
Stil,der,,,105
Regisseur,der,,,105
Anstrengung,die,,,105
Vermittlung,die,,,105
Kooperation,die,,,106
Einwohner,der,,,106
Bord,der,,,106
Symbol,das,,,106
Trennung,die,,,106
Eingriff,der,,,106
Dichter,der,,,106
Fan,der,,,106
Hütte,die,,,106
Stasi,die,,,106
Täter,der,,,106
Übertragung,die,,,106
Handy,das,,,106
Tour,die,,,106
Berücksichtigung,die,,,106
Verfassung,die,,,107
Architekt,der,,,107
Aufmerksamkeit,die,,,107
Beschluss,der,,,107
Absicht,die,,,107
Zeitschrift,die,,,107
Griff,der,,,108
Feind,der,,,108
Geschlecht,das,,,108
Erweiterung,die,,,108
Flüchtling,der,,,108
Bindung,die,,,108
Business,das,,,108
Ehegatte,der,,,108
Gläubiger,der,,,108
Halt,der,,,108
Einschätzung,die,,,108
Bibel,die,,,108
Entstehung,die,,,108
Gewissen,das,,,108
Elektron,das,,,108
Flucht,die,,,108
Börse,die,,,108
Marketing,das,,,109
Nebenwirkung,die,,,109
Kindergarten,der,,,109
Infektion,die,,,109
Orchester,das,,,109
Mantel,der,,,109
Nationalsozialist,der,,,109
Kontinent,der,,,109
Klima,das,,,109
Hemd,das,,,109
Mut,der,,,109
Paket,das,,,109
Kündigung,die,,,109
Oper,die,,,109
Vorgehen,das,,,110
Übergang,der,,,110
Ressource,die,,,110
Scheibe,die,,,110
Vorbild,das,,,110
Stille,die,,,110
These,die,,,110
Transport,der,,,110
Widerspruch,der,,,110
Revolution,die,,,110
Richtlinie,die,,,110
Stress,der,,,110
Rückkehr,die,,,110
Distanz,die,,,111
Aufenthalt,der,,,111
Besitz,der,,,111
Alkohol,der,,,111
Ball,der,,,111
Wüste,die,,,111
Frist,die,,,111
Aussicht,die,,,111
Ei,das,,,111
Bemerkung,die,,,111
Anerkennung,die,,,111
Chemie,die,,,111
Presse,die,,,112
Höhepunkt,der,,,112
Kreuz,das,,,112
Geschenk,das,,,112
Horizont,der,,,112
Notwendigkeit,die,,,112
Gestaltung,die,,,112
Heim,das,,,112
Konferenz,die,,,112
Organ,das,,,112
Rechtsprechung,die,,,113
Zeile,die,,,113
Übung,die,,,113
Ring,der,,,113
Regal,das,,,113
Vortrag,der,,,113
Gehalt,der/das,,,114
Eingang,der,,,114
Freundschaft,die,,,114
Ferien,die,,,114
Fragestellung,die,,,114
Erscheinung,die,,,114
Geheimnis,das,,,114
Flug,der,,,114
Besitzer,der,,,114
Ausführung,die,,,114
Center,das,,,114
Frühstück,das,,,114
Miete,die,,,115
Phantasie,die,,,115
Hut,die/der,,,115
Klage,die,,,115
Protein,das,,,115
Geräusch,das,,,115
Geschmack,der,,,115
Pass,der,,,115
Öl,das,,,115
Gold,das,,,115
Medikament,das,,,115
Lehrerin,die,,,115
Klinik,die,,,115
Interpretation,die,,,115
Hafen,der,,,115
Prognose,die,,,115
Marke,die,,,115
Vorgabe,die,,,116
Schreck,der,,,116
Abhängigkeit,die,,,116
Weihnachten,das,,,116
Turm,der,,,116
Serie,die,,,116
Protokoll,das,,,116
Wende,die,,,116
Tee,der,,,116
Überzeugung,die,,,116
Dialog,der,,,117
Arbeitsmarkt,der,,,117
Ärger,der,,,117
Betreuung,die,,,117
Bombe,die,,,117
Austausch,der,,,117
Hitze,die,,,118
Gen,das,,,118
Maler,der,,,118
E-Mail,die,,,118
Gas,das,,,118
Leib,der,,,118
Entschuldigung,die,,,118
Konzentration,die,,,118
Erhöhung,die,,,118
Kindheit,die,,,118
Klavier,das,,,118
Pilot,der,,,119
Resultat,das,,,119
Stock,der,,,119
Milch,die,,,119
Riese,der,,,119
Übersetzer,der,,,119
Umfrage,die,,,119
Strafe,die,,,119
Ufer,das,,,119
Menschheit,die,,,119
Mord,der,,,119
Großmutter,die,,,120
Gesichtspunkt,der,,,120
Dutzend,das,,,120
Ernährung,die,,,120
Baby,das,,,120
Differenz,die,,,120
Dunkelheit,die,,,120
Eis,das,,,120
City,die,,,120
Empfang,der,,,120
Empfänger,der,,,120
Franzose,der,,,120
Hochzeit,die,,,120
Herkunft,die,,,120
Onkel,der,,,121
Konkurrent,der,,,121
Potenzial (Potential),das,,,121
Muster,das,,,121
Protest,der,,,121
Reiz,der,,,121
Hunger,der,,,121
