word,articles,translation.en,level
Folge,die,"result, consequence",20
Tür,die,door,20
Milliarde,die,billion,20
Krieg,der,war,20
Schüler,der,"pupil, student",20
Ergebnis,das,result,20
Gespräch,das,conversation,21
Meter,der,meter,21
Wohnung,die,"apartment, flat",21
Stück,das,piece,21
Regierung,die,"rule, government",21
Weise,die,"way, manner",21
Situation,die,situation,22
Abbildung,die,illustration,22
Jahrhundert,das,century,22
Lehrer,der,teacher,22
Begriff,der,"concept, idea, term",22
Punkt,der,"dot, point, period",22
Funktion,die,function,22
Boden,der,"ground, floor, bottom",22
Preis,der,"price, prize",22
Sohn,der,son,22
Kunst,die,art,23
Angst,die,"fear, anxiety",23
Information,die,information,23
Werk,das,work,23
Politik,die,politics,23
Richtung,die,direction,23
Stimme,die,"voice, vote",23
Musik,die,music,23
Programm,das,programme,23
Rahmen,der,"frame, framework",23
Schritt,der,step,24
Gott,der,god,24
Absatz,der,"paragraph, sales, heel",24
Beruf,der,"occupation, job, profession",24
Auto,das,"automobile, car",24
Regel,die,rule,24
Beziehung,die,"relation, relationship",24
Markt,der,market,25
Gefühl,das,feeling,25
Licht,das,light,25
Tisch,der,table,25
Spiel,das,game,25
Präsident,der,president,25
Zukunft,die,future,25
Erfahrung,die,experience,25
Partei,die,(political) party,25
Bank,die,1) bank; 2) bench,25
Tochter,die,daughter,25
Mädchen,das,girl,26
Kirche,die,church,26
Verhältnis,das,relationship,26
Doktor,der,doctor,26
Gedanke,der,thought,26
Film,der,film,26
Zusammenhang,der,"connection, context",27
Gesetz,das,law,27
Firma,die,"firm, company",27
Student,der,student,27
Entscheidung,die,decision,27
Prozess,der,"trial, process",27
Arm,der,arm,27
Kraft,die,"power, strength",27
September,der,September,27
Betrieb,der,"business, operation",27
Zeitung,die,newspaper,28
Angebot,das,offer,28
Grenze,die,"border, frontier",28
Chance,die,chance,28
Satz,der,sentence,28
Zuhause,das,home,28
Erfolg,der,success,28
Mitglied,das,member,29
Leistung,die,performance,29
Lage,die,"situation, location",29
Pro,das,pro,29
Projekt,das,project,29
Kultur,die,culture,29
Auftreten,das,"behaviour, conduct",30
Verhalten,das,behaviour,30
Arzt,der,"physician, doctor",30
Zimmer,das,room,30
Körper,der,body,30
Fuß,der,foot,30
Klasse,die,class,30
Zug,der,train,30
Chef,der,"director, boss",30
Lösung,die,solution,30
Fenster,das,window,31
Junge,der,boy,31
Produkt,das,product,31
Studium,das,"study, studies",31
Höhe,die,"height, altitude",31
Vergleich,der,comparison,31
Idee,die,idea,31
Luft,die,air,31
Englisch,das,English (language),31
Französisch,das,French (language),31
Meinung,die,opinion,31
Natur,die,nature,32
Bett,das,bed,32
Wirtschaft,die,"economy, commerce",32
Spaß,der,fun,32
Modell,das,model,32
Geschäft,das,"business, store, shop",32
Bewegung,die,"movement, motion",32
Mittel,das,means,32
Kunde,der,"customer, client",32
Tier,das,animal,32
Mitarbeiter,der,"employee, co-worker",32
Tod,der,death,32
Dorf,das,village,33
Bruder,der,brother,33
Angabe,die,"information, statement",33
Verfügung,die,disposal,33
Gast,der,guest,33
Sicherheit,die,"security, safety",33
Dank,der,gratefulness,33
Kollege,der,colleague,33
Gebiet,das,"area, region",33
Einsatz,der,"use, commitment, inset, development",33
Unterschied,der,difference,34
Anwendung,die,"application, use",34
Vorstellung,die,"idea, introduction",34
Kontakt,der,contact,34
Fach,das,"compartment, subject",34
Menge,die,"quantity, amount",34
Verbindung,die,"connection, link",34
Sommer,der,summer,34
Anspruch,der,claim,34
Herz,das,heart,34
Antwort,die,"answer, reply",34
Ausbildung,die,"training, development",35
Alter,das,age,35
Kilometer,der,kilometre,35
Vertrag,der,contract,35
Hilfe,die,help,35
Dollar,der,dollar,35
Verfahren,das,"method, process, technique",35
Theater,das,theater,35
Gefahr,die,danger,35
Patient,der,patient,35
Kosten,die,"costs, expenses",35
Polizei,die,police,35
Computer,der,computer,35
Gerät,das,"tool, piece of equipment, appliance",35
Oktober,der,October,36
Reihe,die,"row, line",36
Stoff,der,"material, substance",36
Mitte,die,middle,36
Glück,das,"luck, fortune",36
Maßnahme,die,measure (long form),36
Westen,der,west,36
Ordnung,die,"order, tidiness",36
Beginn,der,beginning,36
Wochenende,das,weekend,36
Professor,der,professor,36
Osten,der,east,37
Reise,die,"journey, trip",37
Einheit,die,"unity, unit",37
Institut,das,institute,37
Bevölkerung,die,population,37
Erde,die,"earth, ground, soil",37
Schwester,die,sister,37
Ebene,die,"plane, level",37
Wahl,die,"choice, election",38
Bedingung,die,"condition, stipulation",38
Lächeln,das,smile,38
Struktur,die,structure,38
Prinzip,das,principle,38
Risiko,das,risk,38
Vorteil,der,advantage,38
Haar,das,hair,38
Wirkung,die,effect,38
Montag,der,Monday,38
Nähe,die,"vicinity, proximity",38
Autor,der,author,38
Sonntag,der,Sunday,39
Größe,die,"size, height",39
Medien,die,media,39
Untersuchung,die,"examination, investigation",39
Veränderung,die,change,39
Daten,die,data,39
Organisation,die,organization,39
Einfluss,der,influence,39
Macht,die,"power, strength",39
Methode,die,method,39
Brief,der,letter,39
Sport,der,sport,40
Augenblick,der,moment,40
Diskussion,die,discussion,40
Liebe,die,love,40
Technik,die,"technique, technology",40
Versuch,der,"attempt, experiment",40
Kreis,der,"circle, district",40
Forderung,die,"demand, claim",40
Rede,die,"speech, talk",40
Tätigkeit,die,activity,41
Krankheit,die,"illness, disease",41
Eindruck,der,impression,41
Voraussetzung,die,"condition, requirement",41
Kampf,der,"fight, struggle",41
Schwierigkeit,die,difficulty,41
Schweigen,das,silence,41
Künstler,der,artist,41
Region,die,region,41
Beitrag,der,contribution,42
Konzept,das,"concept, draft, plan",42
Mund,der,mouth,42
Wunsch,der,wish,42
Artikel,der,article,42
Reaktion,die,reaction,42
Linie,die,line,42
Rücken,der,back (of the body),43
Kapitel,das,chapter,43
Literatur,die,literature,43
Aussage,die,statement,43
Bürger,der,citizen,43
Wand,die,wall,43
Jugendliche,der/die,adolescent,43
Gegensatz,der,"opposite, contrast (not Gegenteil)",43
Inhalt,der,"contents, plot",43
Farbe,die,color,43
Himmel,der,"sky, heaven",43
Bibliothek,die,library,43
Zelle,die,cell,43
Kenntnis,die,knowledge,44
Ansatz,der,"approach, attempt",44
Papier,das,paper,44
Erinnerung,die,memory,44
Maß,das,measure (short form),44
Kurs,der,"course, exchange rate",44
Umstand,der,circumstance,44
Sekunde,die,second,44
Sonne,die,sun,44
Bein,das,leg,44
Essen,das,food,45
Grundlage,die,basis,45
Wirklichkeit,die,reality,45
Küche,die,"kitchen, cuisine",45
Wissenschaft,die,science,45
Hälfte,die,half,45
Garten,der,garden,45
Druck,der,"pressure, printing",45
Zustand,der,"condition, state",45
Meer,das,"sea, ocean",45
Zeitpunkt,der,"moment, (point in) time",46
Plan,der,plan,46
Hinweis,der,hint,46
Auftrag,der,"instructions, order, job",46
Baum,der,tree,46
Dienst,der,"service, duty",46
Gegenstand,der,object,46
Freude,die,joy,46
Gemeinde,die,"community, municipality",46
November,der,November,47
Position,die,position,47
Netz,das,net,47
Forschung,die,research,47
Wald,der,"forest, woods",47
Bundesrepublik,die,Federal Republic,47
Praxis,die,"practice, doctor's office",47
Schluss,der,"end, conclusion",47
Haut,die,skin,47
Glas,das,glass,47
Maschine,die,machine,48
Nummer,die,number,48
Finger,der,finger,48
Russisch,das,Russian (language),48
Titel,der,title,48
Roman,der,novel,48
Hund,der,dog,48
Sicht,die,"view, visibility",48
Ausdruck,der,"term, expression",48
Politiker,der,politician,48
Theorie,die,theory,48
Team,das,team,48
Umwelt,die,environment,48
Verein,der,"association, club",48
Freundin,die,friend,48
Haushalt,der,"household, budget",48
Dienstag,der,Tuesday,48
Material,das,material,49
Tatsache,die,fact,49
Wagen,der,"car, carriage",49
Unterstützung,die,support,49
Schulter,die,shoulder,49
Umgebung,die,surroundings,49
Rest,der,"rest, remains",49
Produktion,die,production,49
Sorge,die,worry,49
Soldat,der,soldier,49
Fernsehen,das,television,49
Ruhe,die,"silence, peace",49
Volk,das,"people, nation",49
Zeichen,das,sign,49
Schaden,der,damage,49
Mittwoch,der,Wednesday,50
Energie,die,energy,50
Zweck,der,purpose,50
Angriff,der,attack,50
Grad,der/das,degree,50
Öffentlichkeit,die,public,50
Schutz,der,protection,50
Anteil,der,"share, portion",50
Job,der,job,50
Besuch,der,visit,50
Wind,der,wind,50
Antrag,der,application,50
Erklärung,die,explanation,50
Beschäftigte,der/die,employee,50
Unterricht,der,"instruction, classes",51
Amt,das,"office, department, function",51
Gang,der,"corridor, aisle, course",51
Behandlung,die,treatment,51
Feld,das,field,51
Einrichtung,die,"institution, furnishings",51
Lauf,der,"course, running",51
Zentrum,das,centre,51
Anschlag,der,attack,51
Ausland,das,foreign countries,51
Faktor,der,factor,52
Erkenntnis,die,"realisation, discovery",52
Spur,die,"track, lane",52
Hotel,das,hotel,52
Fehler,der,"mistake, error",52
Publikum,das,"public, audience",52
Berg,der,"hill, mountain",52
Analyse,die,analysis,52
Hochschule,die,"college, university",52
Studie,die,study,52
Vorsitzende,der/die,chair person,52
Freizeit,die,spare time,53
Partner,der,partner,53
Freiheit,die,freedom,53
Kritik,die,"criticism, review",53
See,die/der,sea; lake,53
Typ,der,"type, guy",53
Gegend,die,"area, region",53
Ereignis,das,event,53
Arbeitsplatz,der,"workplace, job",54
Objekt,das,object,54
Sprecher,der,speaker,54
Verantwortung,die,responsibility,54
Fähigkeit,die,"ability, capability",54
Aufnahme,die,"reception, recording, snapshot",54
Kontrolle,die,"control, inspection",54
Opfer,das,"sacrifice, victim",54
Wahrheit,die,truth,54
Urlaub,der,"holidays, vacation",54
Gebäude,das,building,54
Karte,die,"card, ticket, menu",54
Jahrzehnt,das,decade,55
Prüfung,die,"examination, test",55
Regelung,die,"regulation, settlement",55
Gesellschafter,der,"associate, shareholder",55
Bezug,der,"reference, cover",55
Ausstellung,die,exhibition,55
Norden,der,north,55
Hoffnung,die,hope,55
Bitte,die,request,55
Schiff,das,ship,55
Ohr,das,ear,55
Tat,die,"deed, act",56
Gewinn,der,"profit, gain",56
Band,das/der/die,"ribbon, tape; volume, tome; band (musical)",56
Einstellung,die,"setting, attitude, employment",56
Bericht,der,report,56
König,der,king,56
Mai,der,May,56
Sieg,der,victory,56
Gericht,das,1) court; 2) dish,56
Bund,der,"association, alliance",57
Traum,der,dream,57
Vergangenheit,die,past,57
Direktor,der,director,57
Qualität,die,quality,57
Besucher,der,visitor,57
Abschnitt,der,"portion, section",57
Union,die,union,57
Geographie,die,geography,57
Hintergrund,der,background,57
Rand,der,edge,57
Amerikaner,der,American,57
Verlust,der,loss,58
Bauer,der,farmer,58
Freitag,der,Friday,58
Ehe,die,marriage,58
Winter,der,winter,58
Ursache,die,cause,58
Zuschauer,der,"spectator, viewer",58
Anzahl,die,"quantity, number",58
Pflanze,die,plant,59
Samstag,der,Saturday,59
Störung,die,"disturbance, interruption",59
Generation,die,generation,59
Eigenschaft,die,"property, quality, feature",59
Vorschlag,der,"suggestion, proposal",59
Januar,der,January,59
Vertreter,der,representative,59
Bildung,die,education,59
Zentimeter,der,centimetre,59
Nachricht,die,"news, message",59
Insel,die,island,59
Instrument,das,instrument,59
Abstand,der,"distance, gap",59
Leiter,der/die,"leader; ladder",59
Geist,der,"ghost, mind, spirit",60
Semester,das,semester,60
Stand,der,"stand, stage",60
Dezember,der,December,60
Abschluss,der,"end, conclusion",60
Tradition,die,tradition,60
Interview,das,interview,60
Blatt,das,"sheet, leaf",60
Donnerstag,der,Thursday,60
Basis,die,basis,61
Bühne,die,stage,61
Museum,das,museum,61
Element,das,element,61
Mama,die,mamma,61
Nutzung,die,use,61
Dame,die,lady,61
Behörde,die,"department, authorities",61
Kommunikation,die,communication,61
Anlage,die,"(sports) complex, investment, attachment",61
Hof,der,"courtyard, yard",61
Gelegenheit,die,opportunity,61
Terror,der,terror,62
Verständnis,das,understanding,62
Bürgermeister,der,mayor,62
Ecke,die,corner,62
Auseinandersetzung,die,"argument, quarrel",62
Ansicht,die,"opinion, view",62
Herbst,der,autumn,62
Definition,die,definition,62
Kriterium,das,criterion,62
Bahn,die,"train, railway, way",62
Jude,der,Jew,62
Zusammenarbeit,die,"cooperation, collaboration",62
Masse,die,"mass, crowd",63
Veranstaltung,die,event,63
Nation,die,nation,63
Hobby,das,hobby,63
Bau,der,"construction, building",63
Änderung,die,change,63
Ausnahme,die,exception,63
Flugzeug,das,airplane,63
Stein,der,"rock, stone",63
Foto,das,photo,63
Phase,die,phase,63
Ton,der,"1) sound, tone; 2) clay",63
Italienisch,das,Italian (language),64
Landschaft,die,"landscape, countryside",64
Konflikt,der,conflict,64
Lust,die,desire,64
Mehrheit,die,majority,64
Leitung,die,"1) management, leadership; 2) pipe",64
Kandidat,der,candidate,64
Franken,der,(Swiss) franc,64
Kaffee,der,coffee,64
Aktivität,die,activity,64
Fest,das,"festival, celebration (not Festival)",64
Dach,das,roof,64
Rechnung,die,"bill, calculation",64
Schloss,das,1) lock; 2) castle,64
Nachmittag,der,afternoon,64
Mannschaft,die,"crew, team",65
Stern,der,star,65
Runde,die,round,65
Laden,der,shop,65
Experte,der,expert,65
Meister,der,master,65
Mauer,die,wall,65
Gestalt,die,"shape, form, figure",65
Figur,die,figure,66
Büro,das,office,66
Frieden,der,peace,66
Umgang,der,"dealings, contact",66
Industrie,die,industry,66
Branche,die,"branch, sector, line of business",66
Zugang,der,access (not Zugriff),66
Stellung,die,"position, standing",66
Vorgang,der,1) occurence; 2) process,66
Darstellung,die,"presentation, description",66
Wachstum,das,growth,66
Dauer,die,"length (of time), duration",67
Szene,die,scene,67
Lager,das,1) camp; 2) storeroom,67
Strecke,die,"distance, route",67
Blut,das,blood,67
Schatten,der,"shadow, shade",67
Lehre,die,"apprenticeship, lesson, doctrine",67
Gewalt,die,"violence, force",67
Rat,der,advice,67
Institution,die,institution,67
Spitze,die,"point, top, peak",67
Konzern,der,(business) group,67
Katze,die,cat,67
Pferd,das,horse,67
Fußball,der,"football, soccer",67
Weltmeisterschaft,die,world championship,67
Konsequenz,die,consequence,68
Stuhl,der,chair,68
Feuer,das,fire,68
Ausländer,der,foreigner,68
Aktion,die,"action, campaign",68
Gymnasium,das,secondary school,68
Verband,der,"association, bandage",68
Juli,der,July,68
Tor,das,"gate, goal",68
Nase,die,nose,68
Ausgabe,die,"distribution, edition, expenses",68
Anlass,der,"occasion, cause",68
Süden,der,south,68
Aktie,die,share (finance),68
Trainer,der,"trainer, coach",69
Telefon,das,telephone,69
Führung,die,"management, command, leadership",69
Club,der,club,69
Nachbar,der,neighbour,69
Medizin,die,medicine,69
Terrorismus,der,terrorism,69
Software,die,software,69
Stufe,die,"step, level",69
Bundesland,das,"federal state, province",69
Fluss,der,river,69
Geschwindigkeit,die,speed,69
Gut,das,"estate, good(s)",69
Zweifel,der,doubt,70
Effekt,der,effect,70
Messe,die,"(trade) fair, mass",70
Bad,das,"bath, bathroom, spa",70
Belastung,die,"load, strain",70
Vorschrift,die,"instruction, regulation",70
Umfang,der,"circumference, size, extent",70
Bus,der,bus,70
Anforderung,die,"request, demand",70
Kommission,die,"commission, committee",71
Fahrrad,das,bicycle,71
Mangel,der,"lack, shortage, defect",71
Richter,der,judge,71
Anbieter,der,supplier,71
Terrorist,der,terrorist,71
Urteil,das,"sentence, judgment",71
Krankenhaus,das,hospital,71
Schmerz,der,"pain, aching",72
Schuld,die,"guilt, debt",72
Jugend,die,youth,72
Fleisch,das,"meat, flesh",72
Juni,der,June,72
Stimmung,die,"mood, atmosphere",72
Wein,der,wine,72
Welle,die,wave,72
Tasche,die,"pocket, bag",72
Decke,die,1) ceiling; 2) blanket,72
Fisch,der,fish,72
Wettbewerb,der,competition,72
Tante,die,aunt,73
Temperatur,die,temperature,73
Leser,der,reader,73
Auswirkung,die,effect,73
Bedürfnis,das,need (not Bedarf),73
Wetter,das,weather,73
Ware,die,goods,73
Alternative,die,alternative,73
Haltung,die,"posture, attitude",73
Waffe,die,weapon,73
Ahnung,die,"suspicion, idea",74
Quelle,die,"source, spring",74
Manager,der,manager,74
Loch,das,hole,74
Kleid,das,dress,74
Regen,der,rain,74
Spieler,der,player,74
Brust,die,breast,74
Religion,die,religion,74
Länge,die,length,74
Koalition,die,coalition,74
Einführung,die,introduction,74
Förderung,die,"support, sponsorship",74
Fahrt,die,"drive, trip",74
Wissenschaftler,der,"scholar, scientist",75
Vorwurf,der,"reproach, accusation",75
April,der,April,75
Bier,das,beer,75
Summe,die,sum,75
Tourist,der,tourist,75
Bundesregierung,die,federal government,75
Verwendung,die,use,75
Strom,der,"stream, current, electricity",75
Test,der,test,75
Vertrauen,das,"trust, faith",75
Umsatz,der,"turnover, sales",75
Termin,der,"appointment, date",75
Realität,die,reality,76
Leid,das,"sorrow, grief",76
Landwirtschaft,die,agriculture,76
Krise,die,crisis,76
Pause,die,"pause, break",76
Phänomen,das,phenomenon,76
Suche,die,search,76
Parlament,das,parliament,76
Perspektive,die,"perspective, prospects",76
Merkmal,das,feature,76
März,der,March,76
Lied,das,song,76
Konzert,das,concert,76
Botschaft,die,message,77
Brot,das,bread,77
Fortschritt,der,progress,77
Formel,die,formula,77
Weltkrieg,der,world war,77
Aufbau,der,"construction, structure",77
Arbeitgeber,der,employer,77
August,der,August,77
Flasche,die,bottle,77
Bestimmung,die,"regulation, purpose, fate",77
Pflicht,die,duty,78
Teilnehmer,der,participant,78
Wille,der,will,78
Nachfrage,die,demand,78
Mühe,die,"effort, trouble",78
Hauptstadt,die,capital city,78
Geburtstag,der,birthday,78
Gegenwart,die,present,78
Studiengang,der,course of study,78
Debatte,die,debate,78
Gegner,der,"opponent, competitor, enemy",79
Weile,die,while (period of time),79
Käufer,der,buyer,79
Kilogramm,das,kilogram,79
Hinsicht,die,respect,79
Betrag,der,amount,79
Fremdsprache,die,foreign language,79
Adresse,die,address,79
Verwaltung,die,administration,79
Heimat,die,"home, hometown, homeland",80
Konkurrenz,die,competition,80
Kino,das,"cinema, movie theatre",80
Hals,der,"neck, throat",80
Ablauf,der,"expiry, action",80
Schwerpunkt,der,"main emphasis, center of gravity",80
Kauf,der,purchase,80
Mathematik,die,mathematics,80
Streit,der,"argument, fight",80
Verhandlung,die,negotiation (not Vermittlung),80
Schicht,die,"layer, class",80
Gemeinschaft,die,community (not Gemeinde),81
Gegenteil,das,opposite (not Gegensatz),81
Platte,die,"disk, recorder, plate",81
Minister,der,minister,81
Nachteil,der,disadvantage,81
Management,das,management,81
Millimeter,der,millimetre,81
Sitz,der,1) seat; 2) headquarters,81
Erwachsene,der/die,"adult, grown-up",81
Kanzler,der,chancellor,81
Fahrer,der,driver,81
Handel,der,trade (not Handwerk),81
Drittel,das,"third, one-third",81
Arbeitnehmer,der,employee,81
Gewerkschaft,die,trade union,81
Beamte,der/die,"official, civil cervant",82
Verdacht,der,suspicion,82
Start,der,"start, take-off, launch",82
Vogel,der,bird,82
Widerstand,der,"resistance, opposition",82
Tourismus,der,tourism,82
Tabelle,die,"table, chart",82
Spanisch,das,Spanish (language),82
Steuer,das/die,"steering wheel, helm; tax",83
Polizist,der,policeman,83
Schriftsteller,der,writer,83
Investition,die,investment,83
Planung,die,"planning, plan",83
Bundestag,der,Lower House of Parliament,83
Therapie,die,therapy,83
Türkish,das,Turkish (language),83
Überlegung,die,"thought, thinking",83
Stärke,die,strength,83
Einnahme,die,"income, receipts, revenue",84
Bewusstsein,das,consciousness,84
Verletzung,die,injury,84
Abgeordnete,der/die,member of parliament/congress,84
Beschreibung,die,description,84
Erkrankung,die,"illness, disease",84
Flughafen,der,airport,84
Fläche,die,"area, surface",84
Armee,die,army,84
Verkehr,der,traffic,84
Anschluss,der,"connection (TV, internet)",84
Boot,das,boat,84
Gehirn,das,brain,84
Gesundheit,die,health,84
Atmosphäre,die,atmosphere,84
Auswahl,die,"choice, selection",84
Bahnhof,der,(railway) station,85
Wechsel,der,change,85
Park,der,park,85
Stirn,die,forehead,85
PC,der,"PC, computer",85
Strategie,die,strategy,85
Alltag,der,"workday, daily routine",85
Bundeskanzler,der,federal chancellor,85
Auftritt,der,"appearance, entrance (on stage)",85
Demokratie,die,democracy,85
Saison,die,season,85
Post,die,"mail, post office",85
Physik,die,physics,85
Standort,der,"site, location",86
Verlag,der,publishing company,86
Zeitraum,der,period of time,86
Pfarrer,der,pastor,86
Schicksal,das,fate,86
Hersteller,der,"manufacturer, producer",86
Erwartung,die,expectation,86
Schrift,die,"script, handwriting",86
Niveau,das,"level, standard",86
Liste,die,list,86
Holz,das,wood,86
Knie,das,knee,86
Kombination,die,combination,86
Fotografie,die,photography,86
Fahrzeug,das,vehicle,86
Forscher,der,researcher,87
Radio,das,radio,87
Beweis,der,"proof, evidence",87
Detail,das,detail,87
Kasse,die,"cash register, checkout",87
Organismus,der,organism,87
Kategorie,die,category,87
Integration,die,integration,87
Abteilung,die,department,87
Dimension,die,dimension,87
Gewicht,das,weight,88
Frühjahr,das,spring (not Frühling),88
Beratung,die,"advice, discussion, consultation",88
Beschäftigung,die,"employment, job, activity, occupation",88
Verbesserung,die,improvement,88
Unfall,der,accident,88
Februar,der,February,88
Verpflichtung,die,"commitment, obligation",88
Bundesrat,der,Upper House of Parliament,88
Betrachtung,die,"contemplation, examination",88
Bedarf,der,"need, demand (not Bedürfnis)",88
Abitur,das,"school leaving exam, A levels",88
Bewertung,die,assessment,89
Wesen,das,"being, creature, nature (of sth)",89
Mittelpunkt,der,"midpoint, centre of focus",89
Arbeitslosigkeit,die,unemployment,89
Kompetenz,die,"competence, authority",89
Bezeichnung,die,"designation, name, term",89
Vermögen,das,"assets, fortune, ability",89
Treppe,die,stairs,89
Journalist,der,journalist,89
Beteiligung,die,participation,89
Lebensmittel,das,"food, groceries",89
Strand,der,beach,89
Spiegel,der,mirror,89
Beobachtung,die,obervation,89
Star,der,"star, celebrity, starling",90
Teilchen,das,particle,90
Nutzen,der,"benefit, profit, use",90
Ministerpräsident,der,"prime minister, minister president",90
Lippe,die,lip,90
Taste,die,"key, button",90
Signal,das,signal,90
Ruf,der,1) call; 2) reputation,90
Standard,der,standard,90
Substanz,die,substance,90
Geschäftsführer,der,shop manager,90
Gebrauch,der,use,90
Russe,der,Russian,90
Brücke,die,bridge,90
Oberfläche,die,surface,91
Initiative,die,initiative,91
Glaube,der,"faith, belief",91
Experiment,das,experiment,91
Vorbereitung,die,preparation,91
Anwalt,der,"attorney, lawyer",91
Vordergrund,der,foreground,91
Grundsatz,der,principle,91
Rennen,das,race,91
Versicherung,die,"insurance, assurance",91
Komponente,die,component,91
Reich,das,"empire, kingdom",91
Viertel,das,"quarter, district",92
Verkauf,der,sale,92
Schuh,der,shoe,92
Seminar,das,seminar,92
Truppe,die,"troupe, troops, unit",92
Spannung,die,"suspense, tension",92
Technologie,die,technology,92
Umfeld,das,milieu,92
Schlag,der,blow,92
Sendung,die,broadcast,92
Vorjahr,das,previous year,92
Verbraucher,der,consumer,92
Kanal,der,"canal, channel",93
Schlaf,der,sleep,93
Erlebnis,das,experience,93
Bilanz,die,balance sheet,93
Sender,der,"sender, broadcasting station",93
Plus,das,plus,93
Quartal,das,quarter of the year,93
Rechner,der,"calculator, computer",93
Kredit,der,credit,93
Karriere,die,career,93
Kamera,die,camera,93
Identität,die,identity,93
Rad,das,wheel,93
Grundstück,das,plot of land,93
Verlauf,der,course,94
TV,das,TV,94
Bewohner,der,"inhabitant, occupant",94
Erziehung,die,"upbringing, education",94
Zigarette,die,cigarette,94
Atem,der,breath,94
Auffassung,die,point of view,94
Aktionär,der,shareholder,94
Charakter,der,character,94
Geburt,die,birth,94
Einkommen,das,income,94
Tal,das,valley,94
Tiefe,die,depth,94
Schnee,der,snow,95
Sitzung,die,"meeting, session",95
Service,der,service,95
Schülerin,die,schoolgirl,95
Sturm,der,storm,95
Halle,die,hall,95
Reform,die,reform,95
Herausforderung,die,challenge,95
Niederlage,die,defeat,95
Schauspieler,der,actor,95
Mittag,der,"noon, midday",95
Informationstechnologie,die,IT,95
Norm,die,norm,95
Restaurant,das,restaurant,95
Träne,die,tear,96
Außenminister,der,foreign minister,96
Arzneimittel,das,medicine,96
Annahme,die,"acceptance, assumption",96
Zustimmung,die,approval,96
Zufall,der,"chance, coincidence",96
Benutzer,der,user,96
Trauer,die,grief,96
Vorstand,der,"board, chairperson",96
Bescheid,der,"information, reply",96
Argument,das,argument,96
Angehörige,der/die,"member, relative",96
Blume,die,flower,97
Fraktion,die,parliamentary party,97
Grundgesetz,das,basic law,97
Bundeswehr,die,Armed Forces,97
Individuum,das,individual,97
Existenz,die,existence,97
Händler,der,"trader, dealer, retailer",97
Katastrophe,die,catastrophe,97
Disziplin,die,discipline,97
Versorgung,die,"supply, care",98
Umsetzung,die,"transfer, implementation",98
Papa,der,daddy,98
Sand,der,sand,98
Opposition,die,opposition,98
Tendenz,die,trend,98
Musiker,der,musician,98
Motiv,das,motive,98
Verkäufer,der,salesman,98
Training,das,training,98
Personal,das,staff,98
Station,die,station,98
Wandel,der,change,99
Ausmaß,das,"extent, size",99
Angelegenheit,die,"matter, affair",99
Auskunft,die,information,99
Fleck,der,stain,99
Wunder,das,"wonder, miracle",99
Begründung,die,"explanation, justification",99
Engagement,das,commitment,99
Entfernung,die,distance,99
Koffer,der,suitcase,100
Unternehmer,der,employer,100
Immunsystem,das,immune system,100
Griechisch,das,Greek (language),100
Video,das,video,100
Not,die,"need, trouble",100
Persönlichkeit,die,"personality, celebrity",100
Seele,die,"soul, mind",100
